KBLI 2025,Rincian KBLI 2025
10120,Pengolahan dan Pengawetan Daging dan Produk Daging
10212,Pengolahan dan Pengawetan Ikan dengan Pengasapan atau Pemanggangan
10214,Pengolahan dan Pengawetan Ikan dengan Pemindangan
10216,Pengolahan dan Pengawetan Ikan dengan Pelumatan
10217,Pengolahan dan Pengawetan Ikan dengan Pengalengan
10219,Pengolahan dan Pengawetan Ikan dengan Metode Lainnya
10292,Pengolahan dan Pengawetan Biota Air Lainnya dengan Pengasapan atau Pemanggangan
10295,Pengolahan dan Pengawetan Biota Air Lainnya dengan Fermentasi
10296,Pengolahan dan Pengawetan Biota Air Lainnya dengan Pelumatan
10298,Pengolahan dan Pengawetan Rumput Laut
10299,Pengolahan dan Pengawetan Biota Air Lainnya dengan Metode Lainnya
10301,Pengasinan Buah-buahan dan Sayuran
10302,Pelumatan Buah-buahan dan Sayuran
10303,Pengeringan Buah-buahan dan Sayuran
10304,Pembekuan Buah-buahan dan Sayuran
10305,Pengalengan Buah-buahan dan Sayuran
10306,Pengolahan Sari Buah-buahan dan Sayuran
10307,Pembuatan Tempe Kedelai
10308,Pembuatan Tahu Kedelai
10309,Pengolahan dan Pengawetan Lainnya untuk Buah-buahan dan Sayuran
10309,Pengolahan dan Pengawetan Lainnya untuk Buah-buahan dan Sayuran
10411,Industri Minyak Mentah dan Lemak Nabati Bukan Kelapa dan Kelapa Sawit
10412,Industri Margarin
10413,Industri Minyak Mentah dan Lemak dari Hewan Selain Ikan
10415,Industri Minyak Goreng dan Minyak Makan Bukan Minyak Kelapa dan Minyak Kelapa Sawit
10419,Industri Minyak Mentah dan Lemak Nabati dan Hewani Bukan Kelapa dan Kelapa Sawit Lainnya
10422,Industri Minyak Mentah Kelapa
10423,Industri Minyak Goreng Kelapa
10432,Industri Minyak Mentah Inti Kelapa Sawit (Crude Palm Kernel Oil)
10437,Industri Minyak Goreng Kelapa Sawit
10501,Industri Susu Segar dan Krim
10502,Industri Susu Bubuk dan Susu Kental
10503,Industri Es Krim
10504,Industri Es yang Dapat Dimakan dan Es Pencuci Mulut
10509,Industri Produk Susu Lainnya
10611,Industri Produk Gilingan Gandum (Selain Tepung Terigu) dan Serelia Selain Beras dan Jagung
10612,Industri Produk Gilingan Aneka Kacang
10613,"Industri Produk Gilingan Aneka Umbi, Tanaman Rimpang, dan Sayuran"
10614,Industri Tepung Campuran dan Adonan Tepung
10615,Industri Makanan Sereal
10616,Industri Tepung Terigu
10621,Industri Pati Ubi Kayu
10622,Industri Berbagai Macam Pati Palem
10623,Industri Glukosa dan Sejenisnya
10629,Industri Pati dan Produk Pati Lainnya
10710,Industri Produk Bakeri
10721,Industri Gula Pasir
10722,Industri Gula Merah
10723,Industri Sirop
10729,Industri Gula Lainnya
10731,Industri Pengolahan Kakao
10732,Industri Cokelat dan Kembang Gula dari Cokelat
10733,Industri Manisan Buah-buahan dan Sayuran Kering
10739,Industri Kembang Gula Lainnya
10739,Industri Kembang Gula Lainnya
10740,"Industri Makaroni, Mi, Couscous, dan Produk Sejenisnya"
10750,Industri Makanan dan Masakan Olahan
10761,Pengolahan Kopi
10762,Pengolahan Teh
10771,Industri Kecap
10772,Industri Garam Konsumsi Beryodium
10779,Industri Bumbu Masakan Lainnya
10779,Industri Bumbu Masakan Lainnya
10792,Industri Kue Basah
10793,Industri Produk Makanan dari Kelapa
10794,"Industri Kerupuk, Keripik, Peyek, dan Sejenisnya"
10795,Industri Sari Nabati dan Krimer Nabati
10797,Industri Infusi Herbal/Herb Infusion
10799,Industri Produk Makanan Lainnya YTDL
11010,"Industri Penyulingan, Pemurnian, dan Pencampuran Minuman Beralkohol"
11020,Industri Minuman Beralkohol Hasil Fermentasi Anggur dan Hasil Pertanian Lainnya
11030,Industri Minuman Beralkohol Hasil Fermentasi Malt
11051,Industri Air Kemasan
11053,Industri Minuman Ringan
11059,Industri Minuman Lainnya
20111,"Industri Asam, Basa, dan Garam Anorganik"
20232,"Industri Kosmetik untuk Manusia, Cairan Lensa Kontak"
21011,Industri Bahan Baku Farmasi untuk Manusia
21012,Industri Produk Farmasi untuk Manusia
21021,Industri Bahan Baku Obat Bahan Alam untuk Manusia
21022,Industri Produk Obat Bahan Alam untuk Manusia
46314,"Perdagangan Besar Kopi, Teh, dan Kakao"
46315,Perdagangan Besar Minyak dan Lemak Nabati
46319,Perdagangan Besar Bahan Makanan dan Minuman Hasil Pertanian Lainnya
46321,Perdagangan Besar Daging Sapi dan Daging Sapi Olahan
46322,Perdagangan Besar Daging Ayam dan Daging Ayam Olahan
46323,Perdagangan Besar Daging dan Daging Olahan Lainnya
46324,Perdagangan Besar Hasil Perikanan dan Olahan Terkait
46326,Perdagangan Besar Susu dan Produk Susu
46331,"Perdagangan Besar Gula, Cokelat, dan Kembang Gula"
46332,Perdagangan Besar Produk Bakeri
46333,Perdagangan Besar Minuman Beralkohol
46334,Perdagangan Besar Minuman Nonalkohol Bukan Susu
46339,Perdagangan Besar Makanan dan Minuman Lainnya
